checkpoint,label,key,layer,component,n,identity_fro,identity_rmse,identity_mae,identity_max_abs,diag_mass,diag_mass_frac,offdiag_mass,offdiag_mass_frac,total_mass,row_entropy_mean,row_entropy_norm_mean,row_entropy_norm_max,effective_support_mean,row_top1_mass_mean,row_top1_mass_min,row_top2_mass_mean,row_argmax_is_diag_frac,col_argmax_is_diag_frac,symmetry_fro,symmetry_rmse,row_err_max,row_err_mean,col_err_max,col_err_mean,nonneg_violation_max,nonneg_violation_mean,sparsity_abs_lt_0p0001,offdiag_sparsity_abs_lt_0p0001,sparsity_abs_lt_0p001,offdiag_sparsity_abs_lt_0p001,sparsity_abs_lt_0p01,offdiag_sparsity_abs_lt_0p01
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.4.hc_attn.static_alpha,4,attn,8.0,0.00027078346465714276,3.3847933082142845e-05,1.508583409304265e-05,0.0001665949821472168,7.999519348144531,0.9999399185180664,0.00048496085219085217,6.062010652385652e-05,8.000003814697266,0.0006773758213967085,0.0003257489297538996,0.0008888184675015509,1.0006777048110962,0.9999393224716187,0.9998320937156677,0.9999852180480957,1.0,1.0,0.00010213247878709808,1.276655984838726e-05,1.9073486328125e-06,1.0281801223754883e-06,2.205371856689453e-06,1.5124678611755371e-06,0.0,0.0,0.875,1.0,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.4.hc_mlp.static_alpha,4,mlp,8.0,0.00030239392071962357,3.7799240089952946e-05,1.6795796909718774e-05,0.00018703937530517578,7.999462127685547,0.9999327659606934,0.0005366415716707706,6.708019645884633e-05,7.999998569488525,0.000741212978027761,0.00035644808667711914,0.000983641017228365,1.000741720199585,0.9999328255653381,0.9998123645782471,0.9999830722808838,1.0,1.0,0.0001349194353679195,1.6864929420989938e-05,2.562999725341797e-06,9.685754776000977e-07,1.9073486328125e-06,9.164214134216309e-07,0.0,0.0,0.859375,0.9821428656578064,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.5.hc_attn.static_alpha,5,attn,8.0,0.00045594939729198813,5.699367466149852e-05,2.6892806999967434e-05,0.0002925395965576172,7.999141216278076,0.9998926520347595,0.0008624154725112021,0.00010780193406390026,8.000003814697266,0.0011713274288922548,0.0005632894462905824,0.0014976835809648037,1.001172423362732,0.9998921751976013,0.9997072219848633,0.9999520778656006,1.0,1.0,0.00021862050925847143,2.7327565476298332e-05,2.0265579223632812e-06,6.705522537231445e-07,2.384185791015625e-06,1.1026859283447266e-06,0.0,0.0,0.859375,0.9821428656578064,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-8streams-reduce-4mean-10000iter,transformer.h.5.hc_mlp.static_alpha,5,mlp,8.0,0.00045779848005622625,5.722481000702828e-05,2.6968700694851577e-05,0.00028908252716064453,7.999137878417969,0.9998922348022461,0.0008641732856631279,0.00010802166070789099,8.000001907348633,0.001165964873507619,0.0005607105558738112,0.0014653458492830396,1.0011669397354126,0.999891996383667,0.9997091293334961,0.9999556541442871,1.0,1.0,0.0002157695562345907,2.697119452932384e-05,2.6226043701171875e-06,1.6093254089355469e-06,1.0728836059570312e-06,5.662441253662109e-07,0.0,0.0,0.84375,0.9642857313156128,0.875,1.0,0.875,1.0
out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter,transformer.h.0.hc_attn.static_alpha,0,attn,16.0,6.104564818087965e-05,3.815353466052329e-06,1.8455916688253637e-06,1.6927719116210938e-05,15.999763488769531,0.9999852180480957,0.00023679471632931381,1.4799669770582113e-05,16.0,0.00021940375154372305,7.913317676866427e-05,8.998889097711071e-05,1.0002193450927734,0.9999852776527405,0.9999829530715942,0.9999862909317017,1.0,1.0,1.4186836096996558e-06,8.866772560622849e-08,1.1920928955078125e-06,4.284083843231201e-07,1.8477439880371094e-06,6.146728992462158e-07,0.0,0.0,0.9375,1.0,0.9375,1.0,0.9375,1.0
out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter,transformer.h.0.hc_mlp.static_alpha,0,mlp,16.0,9.508474613539875e-05,5.942796633462422e-06,2.370539277762873e-06,3.88026237487793e-05,15.999699592590332,0.9999812245368958,0.00030609307577833533,1.9130817236145958e-05,16.0000057220459,0.0002600669686216861,9.379933180753142e-05,0.00016677795792929828,1.0002602338790894,0.9999808669090271,0.9999619126319885,0.9999874830245972,1.0,1.0,5.016351497033611e-05,3.135219685646007e-06,8.344650268554688e-07,4.209578037261963e-07,1.3113021850585938e-06,5.327165126800537e-07,0.0,0.0,0.9375,1.0,0.9375,1.0,0.9375,1.0
out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter,transformer.h.1.hc_attn.static_alpha,1,attn,16.0,0.00011631706729531288,7.269816705957055e-06,2.821476527969935e-06,4.291534423828125e-05,15.999637603759766,0.9999773502349854,0.0003595440648496151,2.2471504053100944e-05,15.99999713897705,0.00029472654568962753,0.0001063001254806295,0.00020260835299268365,1.0002946853637695,0.9999775886535645,0.9999568462371826,0.9999875426292419,1.0,1.0,7.073978486005217e-05,4.4212365537532605e-06,1.9073486328125e-06,4.023313522338867e-07,2.384185791015625e-06,6.593763828277588e-07,0.0,0.0,0.9375,1.0,0.9375,1.0,0.9375,1.0
out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter,transformer.h.1.hc_mlp.static_alpha,1,mlp,16.0,0.0001612681517144665,1.0079259482154157e-05,3.3816399991337676e-06,9.393692016601562e-05,15.999576568603516,0.9999735355377197,0.0004420299956109375,2.7626874725683592e-05,16.000017166137695,0.00035234136157669127,0.00012708028953056782,0.00045312821748666465,1.0003525018692017,0.999972403049469,0.9998964071273804,0.9999859929084778,1.0,1.0,9.811412746785209e-05,6.132132966740755e-06,9.655952453613281e-06,1.4007091522216797e-06,4.172325134277344e-06,1.5348196029663086e-06,0.0,0.0,0.9375,1.0,0.9375,1.0,0.9375,1.0
out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter,transformer.h.2.hc_attn.static_alpha,2,attn,16.0,0.00018418030231259763,1.1511268894537352e-05,4.0465943129675e-06,8.958578109741211e-05,15.999488830566406,0.9999680519104004,0.0005248778616078198,3.280486635048874e-05,16.00001335144043,0.0004152909677941352,0.0001497845514677465,0.0003750973555725068,1.000415325164795,0.9999671578407288,0.9999100565910339,0.9999827146530151,1.0,1.0,0.00011901908874278888,7.438693501171656e-06,3.2186508178710938e-06,1.0579824447631836e-06,4.172325134277344e-06,1.2516975402832031e-06,0.0,0.0,0.9375,1.0,0.9375,1.0,0.9375,1.0
out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-16streams-reduce-4mean-10000iter,transformer.h.2.hc_mlp.static_alpha,2,mlp,16.0,0.0001613128260942176,1.00820516308886e-05,3.501836999930674e-06,8.827447891235352e-05,15.999558448791504,0.999972403049469,0.00045468061580322683,2.8417538487701677e-05,16.00001335144043,0.000359587837010622,0.0001296939153689891,0.00037227178108878434,1.0003596544265747,0.9999716281890869,0.9999100565910339,0.9999855756759644,1.0,1.0,0.00010001928603742272,6.25120537733892e-06,6.318092346191406e-06,1.084059476852417e-06,3.2186508178710938e-06,1.0728836059570312e-06,0.0,0.0,0.9375,1.0,0.9375,1.0,0.9375,1.0
